AP209224999511229870090349 000000862   9034920190207ENIGM.AUTODEFINITA                      120001809999999999 11229870090349977112298700510000000000000000U
AP209224999100125370091032 000000353   9103220190207DOMUS                                   120010000008122800 00125370091032977001253700910000000000000000U
