00451030001820026 00001
00451030001840203 00005
00451030005210114 00001
00451030006310114 00001
00451030009040070 00003
00451030010120110 00002
00451030010210075 00001
00451030010380070 00001
00451030010470070 00001
00451030010480286 00001
00451030010620070 00001
00451030010680050 00001
00451030010720026 00003
00451030010720110 00002
00451030010740070 00001
00451030010750286 00003
00451030010770070 00001
00451030010820026 00001
00451030011000026 00001
00451030011000070 00001
00451030011090070 00001
00451030011160026 00001
00451030011250070 00001
00451030011300291 00001
00451030011340075 00001
00451030011500070 00001
00451030011550070 00002
00451030011550075 00001
00451030011600026 00001
00451030011600070 00001
00451030011680070 00001
00451030011760070 00001
00451030011770070 00001
00451030011780070 00002
00451030011810286 00001
00451030011960075 00001
00451030012140026 00001
00451030012140070 00001
00451030012230114 00003
00451030012320029 00001
00451030012350050 00001
00451030012350070 00001
00451030012350291 00001
00451030012490070 00001
00451030012490286 00001
00451030012670075 00001
00451030012800026 00003
00451030012870286 00001
00451030012890070 00001
00451030013160075 00002
00451030013160286 00002
00451030013230286 00001
00451030013240050 00001
00451030013260075 00001
00451030013410070 00005
00451030013420070 00001
00451030013430070 00002
00451030013640070 00001
00451030013790070 00001
00451030013830291 00001
00451030013870110 00001
00451030013960070 00001
00451030013960286 00001
00451030014030029 00001
00451030014030110 00001
00451030014210070 00003
00451030014280050 00001
00451030014340026 00001
00451030014570070 00001
00451030014650070 00003
00451030014940075 00001
00451030015000050 00001
00451030015020070 00001
00451030015110286 00001
00451030015170026 00001
00451030015230286 00001
00451030015230291 00001
00451030015380286 00001
00451030015410070 00001
00451030015430070 00002
00451030015440026 00001
00451030015450286 00002
00451030015490029 00001
00451030015770070 00001
00451030015800026 00001
00451030015910026 00004
00451030015910070 00001
00451030015970070 00001
00451030015970225 00001
00451030016080229 00004
00451030016160286 00001
00451030016290026 00001
00451030016320070 00005
00451030016340026 00001
00451030016340070 00001
00451030016390070 00001
00451030016670026 00001
00451030016700026 00001
00451030016710110 00001
00451030016720050 00001
00451030016720070 00001
00451030016980050 00001
00451030017000286 00001
00451030017020029 00001
00451030017300026 00001
00451030017390286 00001
00451030017400114 00000
00451030017610070 00001
00451030017640075 00001
00451030017740075 00001
00451030017800026 00002
00451030017830286 00001
00451030017980026 00001
00451030018010286 00001
00451030018060075 00001
00451030018090070 00001
00451030018130075 00001
00451030018170070 00003
00451030018220026 00001
00451030018260070 00003
00451030018360026 00001
00451030018450026 00003
00451030018460075 00001
00451030018580286 00001
00451030018700026 00001
00451030018700029 00001
00451030018710110 00001
00451030018720026 00001
00451030018750026 00001
00451030018750070 00001
00451030018830070 00001
00451030018830075 00002
00451030018900050 00001
00451030018900070 00002
00451030018970075 00004
00451030018980110 00001
00451030019000026 00001
00451030019000029 00001
00451030019020070 00002
00451030019040070 00001
00451030019090026 00001
00451030019130075 00001
00451030019130110 00001
00451030019140026 00001
00451030019140070 00002
00451030019210026 00004
00451030019210291 00001
00451030019230070 00001
00451030019300026 00001
00451030019500114 00004
00451030019600070 00001
00451030019700070 00001
00451030019790075 00001
00451030019810075 00001
00451030019840026 00001
00451030019840075 00001
00451030019850026 00001
00451030019850291 00001
00451030019930026 00001
00451030019960075 00001
00451030019980075 00001
00451030020040026 00001
00451030020130070 00001
00451030020180050 00001
00451030020180070 00000
00451030020180286 00001
00451030020420286 00002
00451030020470026 00002
00451030020470050 00005
00451030020470286 00002
00451030020600026 00001
